Stations_id,Stationsname,Breite, Laenge,Stationshoehe,Bundesland
4477,Schluchsee                              ,     47.8208,    8.185992,993,Baden-Württemberg                       
4479,Schlüchtern-Kloster Gomfritz            ,   50.384911,    9.535778,375,Hessen                                  
4490,Schmelz-Hüttersdorf                     ,   49.414918,    6.836007,223,Saarland                                
4508,Schneifelforsthaus                      ,   50.296848,    6.419387,649,Rheinland-Pfalz                         
4517,Schömberg,   48.785891,    8.645121,635,Baden-Württemberg                       
4557,Schopfheim-Eichen                       ,   47.646351,    7.843961,399,Baden-Württemberg                       
4560,Schotten                                ,   50.492508,    9.122558,265,Hessen                                  
4581,Schwäbisch Gmünd-Strassdorf             ,   48.776796,    9.802456,415,Baden-Württemberg                       
4592,Schwandorf                              ,   49.327835,   12.087053,356,Bayern                                  
4597,Schwangau-Horn                          ,   47.576937,    10.71814,792,Bayern                                  
4605,Schwarzburg                             ,    50.64406,   11.193618,277,Thüringen                               
4621,Schweinfurt-Gartenstadt                 ,   50.057452,   10.215981,240,Bayern                                  
4625,Schwerin                                ,   53.642425,   11.387095,59,Mecklenburg-Vorpommern                  
